ID,Name,Longitude,Latitude,Location,Status,BikesAvailable,EBikesAvailable,BikesDisabled,DocksAvailable,DocksDisabled,IsReturning,IsRenting,IsInstalled,TimeStamp
753415aa-9bb4-4f72-bb5c-0906365177d0,44 St & 6 Ave,-74.004483,40.647105,"https://www.google.com/maps/?q=40.647105,-74.004483",active,1,0,2,21,0,true,true,true,2023-07-29T15:06:22-04:00
3b52be68-9123-46a9-bb45-f0d0646a5a81,9 Ave & W 39 St,-73.99410143494606,40.756403523272496,"https://www.google.com/maps/?q=40.756404,-73.994101",active,2,2,3,30,0,true,true,true,2023-07-29T15:06:22-04:00
d7f55e1b-12db-49d1-9cd8-4fb464745841,65 St & Roosevelt Ave,-73.89915,40.74589,"https://www.google.com/maps/?q=40.745890,-73.899150",active,26,0,0,2,0,true,true,true,2023-07-29T15:06:22-04:00
1a5eae13-8f27-4875-8330-a796c95f8ad6,E 169 St & Fox St,-73.893721,40.827184,"https://www.google.com/maps/?q=40.827184,-73.893721",active,0,0,3,15,0,true,true,true,2023-07-29T15:06:22-04:00
bc512527-7863-48d5-aea8-3de470abc1ee,Edgecombe Ave & W 141 St,-73.945144,40.820681,"https://www.google.com/maps/?q=40.820681,-73.945144",active,18,3,0,2,0,true,true,true,2023-07-29T15:06:22-04:00
6a52ceae-3b97-487a-9438-de844bfbf1c2,Amsterdam Ave & W 183 St,-73.93022,40.84925,"https://www.google.com/maps/?q=40.849250,-73.930220",active,9,0,3,9,0,true,true,true,2023-07-29T15:06:22-04:00
9e014047-d675-418b-a03c-84d974a25134,Broadway & W 168 St,-73.93972098827362,40.84089603193041,"https://www.google.com/maps/?q=40.840896,-73.939721",active,7,7,7,16,0,true,true,true,2023-07-29T15:06:22-04:00
ecbfcdb7-fffc-4d45-bed2-1510fd45834d,Jerome Ave & E 164 St,-73.926226,40.831444,"https://www.google.com/maps/?q=40.831444,-73.926226",active,17,4,1,1,0,true,true,true,2023-07-29T15:06:22-04:00
a617924a-31b7-45ed-8793-099b7274f34c,11 St & 43 Ave,-73.9479119,40.7519071,"https://www.google.com/maps/?q=40.751907,-73.947912",active,24,2,1,2,0,true,true,true,2023-07-29T15:06:22-04:00
4d674595-187c-417c-a691-676c4446c9fc,Southern Blvd & E 142 St,-73.90809774398804,40.807347437082,"https://www.google.com/maps/?q=40.807347,-73.908098",active,5,0,0,18,0,true,true,true,2023-07-29T15:06:22-04:00
