CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
87808269,11/21/2012,18:00:00,11/21/2012,18:10:00,76,11/21/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),18-24,WHITE HISPANIC,M,13514,14,2,27,48
87755734,11/19/2012,11:20:00,11/19/2012,11:21:00,76,11/19/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),BLACK,M,,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),65+,UNKNOWN,M,13514,14,2,27,48
87758629,11/19/2012,20:05:00,11/19/2012,20:10:00,76,11/19/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),UNKNOWN,U,,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,M,13514,14,2,27,48
87808264,11/20/2012,16:27:00,11/20/2012,16:27:00,76,11/20/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,REAR OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),UNKNOWN,M,,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),<18,WHITE HISPANIC,M,13514,14,2,27,48
88094035,12/09/2012,14:00:00,12/09/2012,14:10:00,76,12/12/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),BLACK,M,,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),45-64,WHITE,F,13514,14,2,27,48
87934907,12/02/2012,01:20:00,,(null),76,12/02/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),265,984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),45-64,BLACK,F,13514,14,2,27,48
88215174,12/19/2012,12:30:00,12/19/2012,14:11:00,76,12/19/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,M,13514,14,2,27,48
88147590,12/14/2012,20:00:00,12/14/2012,20:15:00,76,12/14/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),265,984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),45-64,BLACK,F,13514,14,2,27,48
88111202,12/13/2012,10:40:00,12/13/2012,11:00:00,76,12/13/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),25-44,UNKNOWN,F,13514,14,2,27,48
88147589,12/14/2012,20:00:00,12/14/2012,20:15:00,76,12/14/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),265,984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,F,13514,14,2,27,48
88147597,12/16/2012,14:15:00,12/16/2012,14:30:00,76,12/16/2012,106,FELONY ASSAULT,106,ASSAULT POLICE/PEACE OFFICER,COMPLETED,FELONY,BROOKLYN,INSIDE,OTHER,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,E,13514,14,2,27,48
88137015,12/13/2012,10:40:00,12/13/2012,11:00:00,76,12/13/2012,106,FELONY ASSAULT,106,ASSAULT POLICE/PEACE OFFICER,COMPLETED,FELONY,BROOKLYN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,(null),(null),(null),984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),25-44,WHITE,F,13514,14,2,27,48
88250185,12/21/2012,21:00:00,12/21/2012,21:34:00,76,12/21/2012,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),265,984166,188346,(null),(null),(null),,40.6836512406856,-74.0003043120176,"(40.6836512406856, -74.0003043120176)",PATROL BORO BKLYN SOUTH,(null),65+,WHITE HISPANIC,F,13514,14,2,27,48
