School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
3K CENTER @ 1450 PLIMPTON AVENUE - BRONX,X,9,Lease,12534000,CAP,X486,1450 PLIMPTON AVENUE,Bronx,10452,BRONX,40.843998,-73.922008,204,16,2129309,2028740027,21302,BX0403,"(40.843998, -73.922008)",23-May,10930,50,5,42,27
P.S. 55 - QUEENS,Q,28,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6341000,CIP,Q055,131-10 97 AVENUE,Queens,11225,QUEENS,40.694004,-73.816617,409,29,4200233,4094770001,154,QN0903,"(40.694004, -73.816617)",23-May,24015,46,3,46,60
P.S. 176 - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS,1665000,CIP,Q176,120-45 235 STREET,Queens,11225,QUEENS,40.685492,-73.729982,413,27,4276382,4128200001,614,QN1304,"(40.685492, -73.729982)",23-May,15311,63,3,6,63
FASHION INDUSTRIES VOC HS - M,M,2,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS,16510000,CIP,M600,225 WEST 24 STREET,Manhattan,11225,MANHATTAN,40.745156,-73.996074,104,3,1014174,1007740019,91,MN0401,"(40.745156, -73.996074)",23-May,12074,12,4,10,6
QUEENS TECH HS - Q,Q,24,FY18 RESO A IPDVS CAMERA INSTALLATION,179245,CIP,Q600,37-02 47 AVENUE,Queens,11225,QUEENS,40.742205,-73.928219,402,26,4003259,4002280020,189,QN0202,"(40.742205, -73.928219)",23-May,16858,53,3,33,66
HILLSIDE ACADEMY FOR ARTS AND LETTERS - Q,Q,28,LSP DOMESTIC WATER HEATER,12107.82,CIP,Q470,167-01 GOTHIC DRIVE,Queens,11225,QUEENS,40.713218,-73.797237,408,24,4448806,4098580100,452,QN0805,"(40.713218, -73.797237)",23-May,24340,25,3,24,65
P.S. 102 - BROOKLYN,K,20,FY19 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,445000,CIP,K102,211 72 STREET,Brooklyn,11225,BROOKLYN,40.63402,-74.029036,310,47,3146491,3058900001,68,BK1001,"(40.63402, -74.029036)",23-May,17216,10,2,44,41
P.S. 169 - BROOKLYN,K,15,EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT / WINDOWS,14790025,CIP,K169,4305 7 AVENUE,Brooklyn,11225,BROOKLYN,40.64629,-74.001903,307,38,3011002,3007320001,9201,BK0703,"(40.64629, -74.001903)",23-May,13515,9,2,7,45
LONG ISLAND CITY HS - Q,Q,30,CRACKED PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,21700000,CIP,Q452,14-30 BROADWAY,Queens,11225,QUEENS,40.765826,-73.9328,401,22,4467709,4005290002,45,QN0105,"(40.765826, -73.9328)",23-May,16863,39,3,4,72
P.S. 197 - QUEENS,Q,27,IPDVS CAMERA INSTALLATION,516000,CIP,Q197,825 HICKSVILLE ROAD,Queens,11225,QUEENS,40.600199,-73.743968,414,31,4298856,4155970001,101002,QN1401,"(40.600199, -73.743968)",23-May,20529,51,3,47,59
P.S. 60 - STATEN ISLAND,R,31,LSP REPLACE UNIVENTS,355900,CIP,R060,55 MERRILL AVENUE,Staten Island,11225,STATEN IS,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204,"(40.610073, -74.162129)",23-May,10700,30,1,14,75
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,X,9,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,139884.83,CIP,X145,1000 TELLER AVENUE,Bronx,11225,BRONX,40.827941,-73.914374,204,16,2097111,2024240001,173,BX0401,"(40.827941, -73.914374)",23-May,10934,50,5,42,27
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11225,QUEENS,40.678296,-73.79562,412,28,4260828,4120190010,18402,QN1203,"(40.678296, -73.79562)",23-May,24671,41,3,46,71
P.S. 18 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3442549,CIP,R018,221 BROADWAY,Staten Island,11225,STATEN IS,40.636587,-74.117509,501,49,5004877,5001760010,105,SI0104,"(40.636587, -74.117509)",23-May,10697,4,1,13,74
P.S. 81 - BRONX,X,10,FY20 RESO A IPDVS CAMERA INSTALLATION,700500,CIP,X081,5550 RIVERDALE AVENUE,Bronx,11225,BRONX,40.903553,-73.905229,208,11,2084806,2058501550,337,BX0803,"(40.903553, -73.905229)",23-May,11609,48,5,40,33
P.S. 110 - BRONX,X,9,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5847000,CIP,X110,580 CROTONA PARK SOUTH,Bronx,11225,BRONX,40.835286,-73.900751,203,15,2009718,2029320001,149,BX0301,"(40.835286, -73.900751)",23-May,10934,34,5,42,25
P.S. 162 - QUEENS,Q,26,FY21 RESO A GYMNASIUM UPGRADE,121300,CIP,Q162,201-02 53 AVENUE,Queens,11225,QUEENS,40.749036,-73.777213,411,20,4159363,4074100001,140901,QN1101,"(40.749036, -73.777213)",23-May,14506,26,3,3,69
P.S. 196 - BRONX,X,12,(PHASE II) EXISTING SCHOOL RENOVATION WORK,5056386.84,CIP,X077,1250 WARD AVENUE,Bronx,11225,BRONX,40.830499,-73.877704,209,17,2000000,2037750025,54,BX0901,"(40.830499, -73.877704)",23-May,11610,58,5,31,26
"MATH, SCI., RESEARCH & TECH. HS-Q",Q,29,SCIENCE LAB UPGRADES,2226000,CIP,Q490,207-01 116 AVENUE,Queens,11225,QUEENS,40.697819,-73.745728,413,27,4238003,4110490001,53401,QN1304,"(40.697819, -73.745728)",23-May,15311,63,3,6,63
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH - NE,K,22,EXTERIOR MASONRY / PARAPETS / ROOFS,13807000,CIP,K864,3109 NEWKIRK AVENUE,Brooklyn,11225,BROOKLYN,40.640066,-73.947253,317,45,3112334,3049650001,830,BK1702,"(40.640066, -73.947253)",23-May,17217,61,2,26,40
P.S. 270 - BROOKLYN,K,13,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,8647200,CIP,K270,241 EMERSON PLACE,Brooklyn,11225,BROOKLYN,40.690202,-73.961478,302,35,3055378,3019330102,193,BK0204,"(40.690202, -73.961478)",23-May,13829,68,2,48,55
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,K,15,Demo,7888000,CAP,K004,4002 FORT HAMILTON PARKWAY,Brooklyn,11218,BROOKLYN,40.642614,-73.991338,312,38,3000000,3055870038,110,BK1201,"(40.642614, -73.991338)",23-May,17621,2,2,27,39
I.S. 562 - BRONX,X,8,FIRE ALARM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8214000,CIP,X125,1111 PUGSLEY AVENUE,Bronx,11225,BRONX,40.829232,-73.856734,209,18,2025717,2037900040,4001,BX0903,"(40.829232, -73.856734)",23-May,11610,58,5,31,26
P.S. 43 - QUEENS,Q,27,AIR CONDITIONING SPLIT SYSTEM / CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS,14084000,CIP,Q043,160 BEACH 29TH STREET,Queens,11225,QUEENS,40.593834,-73.76174,414,31,4467711,4158200001,99802,QN1401,"(40.593834, -73.76174)",23-May,20529,51,3,47,59
I.S. 162 - BROOKLYN,K,32,LL 26-EXIT SIGNS,55103,CIP,K162,1390 WILLOUGHBY AVENUE,Brooklyn,11225,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)",23-May,13828,42,2,30,53
HS FOR HEALTH PROF & HUMAN SERV-M,M,2,LOW-VOLTAGE ELECTRICAL SYSTEM / RPZ BACKFLOW PREVENTION DEVICES,3126000,CIP,M475,345 EAST 15 STREET,Manhattan,11225,MANHATTAN,40.732447,-73.983031,106,2,1020419,1009220008,48,MN0602,"(40.732447, -73.983031)",23-May,11724,71,4,50,7
RED HOOK NEIGHBORHOOD SCHOOL  - K,K,15,FLOOD ELIMINATION,5009892.98,CIP,K027,27 HUNTINGTON STREET,Brooklyn,11225,BROOKLYN,40.677564,-74.005166,306,38,3008342,3005250001,59,BK0601,"(40.677564, -74.005166)",23-May,13514,14,2,7,48
I.S. 49 - STATEN ISLAND,R,31,COVID VENTILATION,364531,CIP,R049,101 WARREN STREET,Staten Island,11225,STATEN IS,40.620347,-74.081643,501,49,5014184,5005560080,29,SI0102,"(40.620347, -74.081643)",23-May,10691,4,1,13,74
P.S. 254 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,148233.92,CIP,Q254,84-40 101ST STREET,Queens,11225,QUEENS,40.697961,-73.84796,409,29,4191296,4091770023,24,QN0902,"(40.697961, -73.84796)",23-May,24014,46,3,41,60
P.S. 12 - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,6840000,CIP,Q012,42-00 72 STREET,Queens,11225,QUEENS,40.742633,-73.892805,402,26,4031853,4013490028,48302,QN0203,"(40.742633, -73.892805)",23-May,14787,53,3,33,66
MILLENNIUM HS - MANHATTAN,M,2,FY19 RESO A AUDITORIUM UPGRADE,84542,CIP,M824,75 BROAD STREET,Manhattan,11225,MANHATTAN,40.704541,-74.011552,101,1,1000849,1000290070,9,MN0101,"(40.704541, -74.011552)",23-May,11725,56,4,32,1
P.S. 57 - MANHATTAN,M,4,FULL PROGRAM ACCESSIBILITY,12461000,CIP,M057,176 EAST 115 STREET,Manhattan,11225,MANHATTAN,40.797577,-73.94128,111,8,1083184,1016400139,182,MN1102,"(40.797577, -73.94128)",23-May,12426,7,4,35,14
P.S. 310 - BRONX,X,10,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,24407.53,CIP,X122,260 WEST KINGSBRIDGE ROAD,Bronx,11225,BRONX,40.872895,-73.905244,207,14,2096486,2032390041,269,BX0701,"(40.872895, -73.905244)",23-May,11272,24,5,29,34
P.S. @ 24 SHELLEY AVENUE - STATEN ISLAND,R,31,New,76890000,CAP,R121,24 SHELLEY AVENUE,Staten Is,10314,STATEN IS,40.592379,-74.188029,502,50,5041718,5026290001,29102,SI0204,"(40.592379, -74.188029)",23-May,10700,30,1,14,75
P.S. 87 - MANHATTAN,M,3,EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / RPZ BACKFLOW PREVENTION DEVICES / WINDOWS,23719000,CIP,M087,160 WEST 78 STREET,Manhattan,11225,MANHATTAN,40.781958,-73.977638,107,6,1030196,1011490007,161,MN0702,"(40.781958, -73.977638)",23-May,12421,20,4,19,12
P.S. 102 - MANHATTAN,M,4,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,7500000,CIP,M102,315 EAST 113 STREET,Manhattan,11225,MANHATTAN,40.794869,-73.938711,111,8,1081366,1016840101,180,MN1102,"(40.794869, -73.938711)",23-May,12426,7,4,35,14
P.S. 222 - QUEENS,Q,30,UPE- INTERIOR CONVERSION/ENCLOSED ROOFTOP PLAYGROUND,4054549,CIP,Q222,86-15 37TH AVENUE,Queens,11225,QUEENS,40.750172,-73.880363,403,25,4035854,4014600034,279,QN0301,"(40.750172, -73.880363)",23-May,14783,65,3,5,73
3K CENTER @ 159-26 JAMAICA AVENUE - QUEENS,Q,28,Lease,12948100,CAP,Q376,159-26 JAMAICA AVENUE,Queens,11432,QUEENS,40.703473,-73.799846,412,27,4215612,4101000001,44601,QN1201,"(40.703473, -73.799846)",23-May,24340,41,3,6,61
I.S. 241 - BRONX,X,9,ROOF REPLACEMENT,9079000,CIP,X970,1595 BATHGATE AVENUE,Bronx,11225,BRONX,40.839244,-73.901316,203,15,2009555,2029130001,167,BX0302,"(40.839244, -73.901316)",23-May,10935,34,5,42,25
I.S. 452,K,19,FY17 RESO A DANCE ROOM UPGRADE,299000,CIP,K346,1400 PENNSYLVANIA AVENUE,Brooklyn,11225,BROOKLYN,40.64726,-73.881114,305,42,3098294,3044520025,105804,BK0504,"(40.64726, -73.881114)",23-May,13830,45,2,25,47
P.S. 98 - QUEENS,Q,26,FLOOD ELIMINATION,547000,CIP,Q098,40-20 235 STREET,Queens,11225,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)",23-May,14505,26,3,20,69
GROVER CLEVELAND HS - QUEENS,Q,24,EXTERIOR DOORS / EXTERIOR MASONRY,2979000,CIP,Q485,21-27 HIMROD STREET,Queens,11225,QUEENS,40.711033,-73.908814,405,30,4080227,4033630001,59501,QN0502,"(40.711033, -73.908814)",23-May,15310,54,3,34,62
P.S. 69 - QUEENS,Q,30,FIRE ALARM REPLACEMENT,1750964.8,CIP,Q069,77-02 37 AVENUE,Queens,11225,QUEENS,40.749266,-73.888817,403,25,4029892,4012880001,287,QN0301,"(40.749266, -73.888817)",23-May,14783,65,3,5,73
AVIATION HS - QUEENS,Q,24,TEMPORARY FILTER WORK,279406,CIP,Q610,45-30 36 STREET,Queens,11225,QUEENS,40.743509,-73.929076,402,26,4436685,4002260001,17902,QN0202,"(40.743509, -73.929076)",23-May,16858,53,3,33,66
"HS OF ENTERPRISE, BUS. & TECH. - K",K,14,FY18 RESO A IPDVS CAMERA INSTALLATION,435000,CIP,K450,850 GRAND STREET,Brooklyn,11225,BROOKLYN,40.712184,-73.939722,301,34,3325733,3030160001,485,BK0104,"(40.712184, -73.939722)",23-May,17613,36,2,30,56
P.S. 150 - QUEENS,Q,30,FY19 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,351000,CIP,Q150,40-01 43 AVENUE,Queens,11225,QUEENS,40.745537,-73.923776,402,26,4002387,4001850001,18101,QN0202,"(40.745537, -73.923776)",23-May,16861,53,3,33,66
P.S. 452 - MANHATTAN,M,3,FY19 RESO A PLAYGROUND,1120000,CIP,M191,210 WEST 61 STREET,Manhattan,11225,MANHATTAN,40.771966,-73.987429,107,6,1030320,1011520029,147,MN0701,"(40.771966, -73.987429)",23-May,12420,20,4,19,12
I.S. 53 - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,10877000,CIP,Q053,10-45 NAMEOKE STREET,Queens,11225,QUEENS,40.603622,-73.749097,414,31,4298234,4155570025,103202,QN1401,"(40.603622, -73.749097)",23-May,20529,51,3,47,59
JOHN DEWEY HS - BROOKLYN,K,21,CULINARY ARTS CLASSROOM,769005,CIP,K540,50 AVENUE X,Brooklyn,11225,BROOKLYN,40.589268,-73.981738,313,47,3194998,3071850020,308,BK1301,"(40.589268, -73.981738)",23-May,18183,21,2,45,35
I.S. 78 - BROOKLYN,K,22,LSP HOT WATER  HEATER & VACUUM PUMP,663750,CIP,K078,1420 EAST 68 STREET,Brooklyn,11225,BROOKLYN,40.621224,-73.91287,318,46,3236496,3083880002,69602,BK1802,"(40.621224, -73.91287)",23-May,13825,5,2,8,38
I.S. 98 - BROOKLYN,K,21,FACADE / PARAPETS / WINDOWS,10831000,CIP,K043,1401 EMMONS AVENUE,Brooklyn,11225,BROOKLYN,40.583125,-73.954037,315,48,3246958,3087670026,608,BK1503,"(40.583125, -73.954037)",23-May,13826,32,2,15,36
I.S. 302 - BRONX,X,8,REPLACE PUBLIC ADDRESS & SYNCHRONIZED CLOCK SYSTEM,990000,CIP,X052,681 KELLY STREET,Bronx,11225,BRONX,40.815429,-73.902139,202,17,2005133,2026860020,83,BX0202,"(40.815429, -73.902139)",23-May,10933,8,5,43,24
KINGSBOROUGH EARLY COLLEGE SCHOOL,K,21,FY18 RESO A AUDITORIUM  UPGRADE / ROOF,14150000,CIP,K400,2630 BENSON AVENUE,Brooklyn,11225,BROOKLYN,40.594291,-73.98577,313,47,3186454,3068830001,306,BK1301,"(40.594291, -73.98577)",23-May,17616,21,2,45,35
P.S. 46 - QUEENS,Q,26,Addition,45363000,CAP,Q046,64-45 218 STREET,Queens,11364,QUEENS,40.746202,-73.758752,411,23,4162449,4076190001,1367,QN1104,"(40.746202, -73.758752)",23-May,14506,26,3,16,69
P.S. 11 - BRONX,X,9,EXTERIOR DOORS / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / SECURITY LIGHTING / WINDOWS,12733000,CIP,X011,1257 OGDEN AVENUE,Bronx,11225,BRONX,40.839378,-73.925714,204,16,2003519,2025290081,201,BX0402,"(40.839378, -73.925714)",23-May,10930,50,5,42,27
BOYS & GIRLS HS - BROOKLYN,K,16,EXTERIOR MASONRY,2873000,CIP,K455,1700 FULTON STREET,Brooklyn,11225,BROOKLYN,40.67944,-73.932407,303,36,3047996,3017010001,271,BK0302,"(40.67944, -73.932407)",23-May,17615,69,2,49,52
I.S. 131 - MANHATTAN,M,2,LSP DANCE FLOOR REPLACEMENT,91150,CIP,M131,100 HESTER STREET,Manhattan,11225,MANHATTAN,40.716553,-73.993092,103,1,1082489,1003010003,16,MN0301,"(40.716553, -73.993092)",23-May,11723,70,4,32,2
COLLABORATIVE ARTS MIDDLE SCHOOL - QUEENS,Q,29,FY20 RESO A LIBRARY / FY20 RESO A PATH OF TRAVEL LIBRARY,519000,CIP,Q231,145-00 SPRINGFIELD BOULEVARD,Queens,11225,QUEENS,40.664608,-73.758784,413,31,4285682,4133310001,320,QN1306,"(40.664608, -73.758784)",23-May,15313,63,3,47,63
K811 SPED - BROOKLYN,K,22,ELECTRICAL CODE COMPLIANCE,82200,CIP,K286,2525 HARING STREET,Brooklyn,11225,BROOKLYN,40.591109,-73.9391,315,48,3204767,3074470001,596,BK1503,"(40.591109, -73.9391)",23-May,13826,32,2,15,36
BRONX INTERNATIONAL - BRONX,X,9,LSP- INTERIOR SPACES FOR ROOM 501,264026.4,CIP,X400,1110 BOSTON ROAD,Bronx,11225,BRONX,40.827642,-73.904473,203,17,2004526,2026340001,135,BX0301,"(40.827642, -73.904473)",23-May,10934,34,5,42,25
P.S. @ 4513 8TH AVENUE - BROOKLYN,K,15,New,47833546,CAP,K730,4513 8TH AVENUE,Brooklyn,11220,BROOKLYN,40.643781,-74.000926,312,38,3011760,3007510001,9402,BK1201,"(40.643781, -74.000926)",23-May,18180,2,2,7,39
P.S. 88 - QUEENS,Q,24,PLANYC PLAYGROUND REDEVELOPMENT,1746800,CIP,Q088,60-85 CATALPA AVENUE,Queens,11225,QUEENS,40.703779,-73.896374,405,30,4085173,4035340012,585,QN0502,"(40.703779, -73.896374)",23-May,15310,54,3,34,62
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,R,31,LSP VENTILATION/DUST COLLECTION SYSTEM,79200,CIP,R600,290 ST MARKS PLACE,Staten Island,11225,STATEN IS,40.642793,-74.07873,501,49,5000000,5000190004,9,SI0101,"(40.642793, -74.07873)",23-May,10369,4,1,13,74
P.S. 165 - MANHATTAN,M,3,ROOFS,13460000,CIP,M165,234 WEST 109 STREET,Manhattan,11225,MANHATTAN,40.802917,-73.965613,107,7,1056676,1018800013,195,MN0703,"(40.802917, -73.965613)",23-May,12422,20,4,23,15
P.S. 69 - QUEENS,Q,30,LSP DOMESTIC WATER HEATER,159694.25,CIP,Q069,77-02 37 AVENUE,Queens,11225,QUEENS,40.749266,-73.888817,403,25,4029892,4012880001,287,QN0301,"(40.749266, -73.888817)",23-May,14783,65,3,5,73
I.S. 424 - BRONX,X,8,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,7504528.75,CIP,X074,730 BRYANT AVENUE,Bronx,11225,BRONX,40.815455,-73.88577,202,17,2006566,2027630279,11701,BX0201,"(40.815455, -73.88577)",23-May,12343,8,5,43,24
BRONX EARLY COLLEGE ACADEMY,X,9,ELECTRICAL UPGRADE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,456450,CIP,X166,250 EAST 164 STREET,Bronx,11225,BRONX,40.828696,-73.917668,204,16,2002497,2024460043,18302,BX0401,"(40.828696, -73.917668)",23-May,10934,50,5,42,27
I.S. 238 - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS / PLAYGROUND REDEVELOPMENT / WINDOWS,20840013,CIP,Q238,88-15 182 STREET,Queens,11225,QUEENS,40.713094,-73.780468,412,23,4212425,4099190006,470,QN1201,"(40.713094, -73.780468)",23-May,24332,41,3,6,61
P.S. 138 - BRONX,X,8,Addition,57799000,CAP,X138,2060 LAFAYETTE AVENUE,Bronx,10473,BRONX,40.822665,-73.853366,209,18,2022289,2036090016,74,BX0903,"(40.822665, -73.853366)",23-May,11611,58,5,31,26
P.S./I.S. 218 - BRONX,X,9,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,5564000,CIP,X235,1220 GERARD AVENUE,Bronx,11225,BRONX,40.835847,-73.920026,204,16,2097130,2024800008,197,BX0401,"(40.835847, -73.920026)",23-May,10930,50,5,42,27
P.S. 207 - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE,7216,CIP,K207,4011 FILLMORE AVENUE,Brooklyn,11225,BROOKLYN,40.613353,-73.930129,318,46,3239388,3084840001,652,BK1802,"(40.613353, -73.930129)",23-May,13825,5,2,8,38
NORTH QUEENS COMMUNITY HS - Q,Q,25,ELECTRICAL WORK FOR A/C INITIATIVE,75000,CIP,Q792,141-25 77TH ROAD,Queens,11225,QUEENS,40.720359,-73.819792,408,24,4438284,4066290035,77903,QN0801,"(40.720359, -73.819792)",23-May,14509,25,3,24,65
P.S. 9 - MANHATTAN,M,3,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / RPZ BACKFLOW PREVENTION DEVICES,6717000,CIP,M009,100 WEST 84 STREET,Manhattan,11225,MANHATTAN,40.785287,-73.97343,107,6,1032119,1012140029,169,MN0702,"(40.785287, -73.97343)",23-May,12421,20,4,19,12
GREGORIO LUPERON PREP. SCHOOL - M,M,6,FY20 RESO A GYMNASIUM UPGRADE,116000,CIP,M876,501 WEST 165 STREET,Manhattan,11225,MANHATTAN,40.838167,-73.938642,112,10,1085733,1021230045,251,MN1201,"(40.838167, -73.938642)",23-May,13090,47,4,39,21
I.S. 126 - QUEENS,Q,30,WATER INFILTRATION,779000,CIP,Q126,31-51 21 STREET,Queens,11225,QUEENS,40.766264,-73.930709,401,22,4006382,4005530001,77,QN0102,"(40.766264, -73.930709)",23-May,16863,39,3,4,72
P.S. 16 - BRONX,X,11,EXTERIOR MASONRY / FLOOD ELIMINATION / PAVED AREA- CONCRETE / ROOFS / RPZ BACKFLOW PREVENTION DEVICES,4852803,CIP,X016,4550 CARPENTER AVENUE,Bronx,11225,BRONX,40.902205,-73.854829,212,11,2070894,2050760031,414,BX1203,"(40.902205, -73.854829)",23-May,11608,29,5,40,30
P.S. 235 - BROOKLYN,K,18,EXTERIOR MASONRY / PARAPETS / ROOFS,3454200,CIP,K242,10001 FLATLANDS AVENUE,Brooklyn,11225,BROOKLYN,40.645243,-73.898241,318,46,3229773,3081880001,974,BK1803,"(40.645243, -73.898241)",23-May,13827,5,2,8,42
P.S. 150 - BRONX,X,12,EXTERIOR MASONRY / PARAPETS / ROOFS,5649000,CIP,X150,920 EAST 167 STREET,Bronx,11225,BRONX,40.82636,-73.894398,202,17,2005681,2027170005,12701,BX0202,"(40.82636, -73.894398)",23-May,10937,8,5,43,24
I.S. 528 - MANHATTAN,M,6,LSP HOT WATER HEATER,106500,CIP,M528,180 WADSWORTH AVENUE,Manhattan,11225,MANHATTAN,40.85051,-73.934485,112,10,1063928,1021640032,271,MN1202,"(40.85051, -73.934485)",23-May,13091,47,4,39,22
P.S. 20 - QUEENS,Q,25,LSP DOMESTIC WATER HEATER REPLACEMENT,164772.82,CIP,Q020,142-30 BARCLAY AVENUE,Queens,11225,QUEENS,40.758689,-73.824832,407,20,4114657,4050470001,855,QN0707,"(40.758689, -73.824832)",23-May,14190,22,3,3,67
P.S. 75 - MANHATTAN,M,3,RPZ BACKFLOW PREVENTION DEVICES,706786,CIP,M075,735 WEST END AVENUE,Manhattan,11225,MANHATTAN,40.795157,-73.973292,107,6,1034190,1012530065,183,MN0702,"(40.795157, -73.973292)",23-May,12422,20,4,19,15
P.S. 29 - STATEN ISLAND,R,31,FLOOD ELIMINATION / PLAYGROUNDS,3086919,CIP,R029,1581 VICTORY BOULEVARD,Staten Island,11225,STATEN IS,40.613604,-74.115988,501,50,5009028,5003310001,147,SI0105,"(40.613604, -74.115988)",23-May,10700,4,1,14,74
P.S. 115 - BROOKLYN,K,18,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,4770899,CIP,K115,1500 EAST 92 STREET,Brooklyn,11225,BROOKLYN,40.635015,-73.897262,318,46,3232559,3082560001,1008,BK1803,"(40.635015, -73.897262)",23-May,13827,5,2,8,42
I.S. 202 - QUEENS,Q,27,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,8212500,CIP,Q202,138-30 LAFAYETTE STREET,Queens,11225,QUEENS,40.67124,-73.845141,410,32,4245993,4114030001,58,QN1002,"(40.67124, -73.845141)",23-May,24013,62,3,41,64
P.S. 241 - BROOKLYN,K,17,BACKFLOW PREVENTION DEVICES / RPZ BACKFLOW PREVENTION / RPZ BACKFLOW PREVENTION DEVICES,1195000,CIP,K840,976 PRESIDENT STREET,Brooklyn,11225,BROOKLYN,40.669361,-73.960769,309,35,3378160,3011880001,213,BK0901,"(40.669361, -73.960769)",23-May,13509,17,2,48,44
I.S. 556 - BRONX,X,11,LSP- VACUUM PUMP REPLACEMENT,45712.07,CIP,X135,2441 WALLACE AVENUE,Bronx,11225,BRONX,40.862109,-73.864577,211,13,2051313,2044320001,330,BX1104,"(40.862109, -73.864577)",23-May,11605,59,5,12,32
3K CENTER @ 330 EAST 38TH STREET - MANHATTAN,M,2,Lease,7289919,CAP,M508,330 EAST 38 STREET,Manhattan,10016,MANHATTAN,40.746742,-73.972741,106,4,1076166,1009437501,78,MN0603,"(40.746742, -73.972741)",23-May,12078,71,4,51,9
P.S. 39 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3347318,CIP,R039,99 MACFARLAND AVENUE,Staten Island,11225,STATEN IS,40.597653,-74.070052,502,50,5045488,5030970014,2002,SI0201,"(40.597653, -74.070052)",23-May,10692,30,1,14,76
I.S. 2 - BROOKLYN,K,17,IPDVS CAMERA INSTALLATION,306000,CIP,K002,655 PARKSIDE AVENUE,Brooklyn,11225,BROOKLYN,40.656183,-73.951583,309,40,3378201,3050500051,802,BK0902,"(40.656183, -73.951583)",23-May,13509,17,2,11,44
FRANCIS LEWIS HS ANNEX - QUEENS,Q,78,New,45475000,CAP,Q434,174-25 59TH AVENUE,Queens,11355,QUEENS,40.7405,-73.796851,411,20,4617811,4068820001,1417,QN1101,"(40.7405, -73.796851)",23-May,14507,26,3,3,69
I.S. 71 - BROOKLYN,K,14,WATER INFILTRATION,1499000,CIP,K071,215 HEYWARD STREET,Brooklyn,11225,BROOKLYN,40.703624,-73.953146,301,33,3061064,3022270001,529,BK0103,"(40.703624, -73.953146)",23-May,17213,36,2,38,56
P.S. 156 - QUEENS,Q,29,DEFECTIVE FLOORING REPLACEMENT,869000,CIP,Q156,229-02 137 AVENUE,Queens,11225,QUEENS,40.673069,-73.743173,413,31,4283015,4131700012,646,QN1305,"(40.673069, -73.743173)",23-May,15313,63,3,47,63
