School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
THE SCIENCE AND MEDICINE MIDDL,K,18,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,175775,CIP,K366,965 EAST 107 STREET,Brooklyn,11236,BROOKLYN,40.647323,-73.892022,318,46,3396940,3082150012,984,BK1803,"(40.647323, -73.892022)",18-Oct,13827,5,2,8,42
P.S. 333 - MANHATTAN,M,3,FY18 RESO A AUDITORIUM UPGRADE,480000,CIP,M118,154 WEST 93 STREET,Manhattan,10025,MANHATTAN,40.791709,-73.970802,107,7,1032522,1012230005,177,MN0702,"(40.791709, -73.970802)",18-Oct,12422,20,4,19,15
MONROE ACAD FOR VISUAL ARTS -,X,12,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS/WINDOWS,15807450,CIP,X420,1300 BOYNTON AVENUE,Bronx,10472,BRONX,40.831601,-73.878912,209,17,2027459,2038640001,56,BX0901,"(40.831601, -73.878912)",18-Oct,11610,58,5,31,26
I.S. 162 - BROOKLYN,K,32,LOW VOLTAGE ELECTRICAL SYSTEM,1024000,CIP,K162,1390 WILLOUGHBY AVENUE,Brooklyn,11237,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)",18-Oct,13828,42,2,30,53
J.H.S. 292 - MANHATTAN,M,1,ROOFS,4699000,CIP,M056,220 HENRY STREET,Manhattan,10002,MANHATTAN,40.713684,-73.986336,103,1,1003223,1002690041,201,MN0301,"(40.713684, -73.986336)",18-Oct,11723,70,4,32,4
P.S. 1 - STATEN ISLAND,R,31,EXT MASONRY/PARAPETS/ROOFS/WINDOWS/WATER HEATER,11927000,CIP,R001,58 SUMMIT STREET,Staten Island,10307,STATEN IS,40.509037,-74.244118,503,51,5107854,5078980001,24401,SI0305,"(40.509037, -74.244118)",18-Oct,10694,15,1,9,77
FREDERICK DOUGLASS ACADEMY VI,Q,27,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,21377000,CIP,Q465,8-21 BAY 25 STREET,Queens,11691,QUEENS,40.60201,-73.762795,414,31,4300730,4157360001,100804,QN1401,"(40.60201, -73.762795)",18-Oct,20529,51,3,47,59
I.S. 35 - BROOKLYN,K,16,FULL PROGRAM ACCESSIBILITY,8275000,CIP,K035,272 MACDONOUGH STREET,Brooklyn,11233,BROOKLYN,40.681904,-73.935895,303,36,3047054,3016740011,273,BK0302,"(40.681904, -73.935895)",18-Oct,13516,69,2,49,52
K753 SPED - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4827000,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,BROOKLYN,40.682533,-73.968769,302,35,3057521,3020080001,179,BK0203,"(40.682533, -73.968769)",18-Oct,13829,68,2,48,55
J.H.S. 8 - QUEENS,Q,28,FY18 RESO A AUDITORIUM UPGRADE,269599,CIP,Q008,108-35 167 STREET,Queens,11433,QUEENS,40.69719,-73.787192,412,27,4216655,4101780001,258,QN1202,"(40.69719, -73.787192)",18-Oct,24668,41,3,6,61
